IOTILE_ROUTE,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,
W23,CFG_RMUX7<58>,CFG_RMUX7<59>,CFG_RMUX7<55>,CFG_RMUX7<53>,CFG_RMUX7<51>,CFG_RMUX7<11>,CFG_RMUX7<13>,CFG_RMUX7<15>,CFG_RMUX7<19>,CFG_RMUX7<18>,CFG_RMUX7<38>,CFG_RMUX7<39>,CFG_RMUX7<35>,CFG_RMUX7<33>,CFG_RMUX7<31>,XXXX,
W24,CFG_RMUX4<17>,CFG_RMUX4<16>,CFG_RMUX4<14>,CFG_RMUX4<12>,CFG_RMUX4<10>,CFG_RMUX4<30>,CFG_RMUX4<32>,CFG_RMUX4<34>,CFG_RMUX4<36>,CFG_RMUX4<37>,CFG_RMUX4<57>,CFG_RMUX4<56>,CFG_RMUX4<54>,CFG_RMUX4<52>,CFG_RMUX4<50>,CFG_OMUX6<0>,
W25,CFG_RMUX4<18>,CFG_RMUX4<19>,CFG_RMUX4<15>,CFG_RMUX4<13>,CFG_RMUX4<11>,CFG_RMUX4<31>,CFG_RMUX4<33>,CFG_RMUX4<35>,CFG_RMUX4<39>,CFG_RMUX4<38>,CFG_RMUX4<58>,CFG_RMUX4<59>,CFG_RMUX4<55>,CFG_RMUX4<53>,CFG_RMUX4<51>,XXXX,
W26,CFG_RMUX5<17>,CFG_RMUX5<16>,CFG_RMUX5<14>,CFG_RMUX5<12>,CFG_RMUX5<10>,CFG_RMUX5<30>,CFG_RMUX5<32>,CFG_RMUX5<34>,CFG_RMUX5<36>,CFG_RMUX5<37>,CFG_RMUX5<57>,CFG_RMUX5<56>,CFG_RMUX5<54>,CFG_RMUX5<52>,CFG_RMUX5<50>,XXXX,
W27,CFG_RMUX5<18>,CFG_RMUX5<19>,CFG_RMUX5<15>,CFG_RMUX5<13>,CFG_RMUX5<11>,CFG_RMUX5<31>,CFG_RMUX5<33>,CFG_RMUX5<35>,CFG_RMUX5<39>,CFG_RMUX5<38>,CFG_RMUX5<58>,CFG_RMUX5<59>,CFG_RMUX5<55>,CFG_RMUX5<53>,CFG_RMUX5<51>,XXXX,
W28,CFG_RMUX6<47>,CFG_RMUX6<46>,CFG_RMUX6<44>,CFG_RMUX6<42>,CFG_RMUX6<40>,CFG_RMUX6<0>,CFG_RMUX6<2>,CFG_RMUX6<4>,CFG_RMUX6<6>,CFG_RMUX6<7>,CFG_RMUX6<27>,CFG_RMUX6<26>,CFG_RMUX6<24>,CFG_RMUX6<22>,CFG_RMUX6<20>,CFG_OMUX7<0>,
W29,CFG_RMUX6<48>,CFG_RMUX6<49>,CFG_RMUX6<45>,CFG_RMUX6<43>,CFG_RMUX6<41>,CFG_RMUX6<1>,CFG_RMUX6<3>,CFG_RMUX6<5>,CFG_RMUX6<9>,CFG_RMUX6<8>,CFG_RMUX6<28>,CFG_RMUX6<29>,CFG_RMUX6<25>,CFG_RMUX6<23>,CFG_RMUX6<21>,XXXX,
W30,CFG_RMUX7<47>,CFG_RMUX7<46>,CFG_RMUX7<44>,CFG_RMUX7<42>,CFG_RMUX7<40>,CFG_RMUX7<0>,CFG_RMUX7<2>,CFG_RMUX7<4>,CFG_RMUX7<6>,CFG_RMUX7<7>,CFG_RMUX7<27>,CFG_RMUX7<26>,CFG_RMUX7<24>,CFG_RMUX7<22>,CFG_RMUX7<20>,XXXX,
W31,CFG_RMUX7<48>,CFG_RMUX7<49>,CFG_RMUX7<45>,CFG_RMUX7<43>,CFG_RMUX7<41>,CFG_RMUX7<1>,CFG_RMUX7<3>,CFG_RMUX7<5>,CFG_RMUX7<9>,CFG_RMUX7<8>,CFG_RMUX7<28>,CFG_RMUX7<29>,CFG_RMUX7<25>,CFG_RMUX7<23>,CFG_RMUX7<21>,XXXX,
W32,CFG_SEAMMUX<0>,CFG_SEAMMUX<1>,CFG_SEAMMUX<2>,CFG_SEAMMUX<3>,CFG_SEAMMUX<4>,CFG_SEAMMUX<5>,CFG_SEAMMUX<6>,CFG_SEAMMUX<7>,CFG_SEAMMUX<16>,CFG_SEAMMUX<17>,CFG_SEAMMUX<19>,CFG_SEAMMUX<20>,CFG_SEAMMUX<21>,CFG_SEAMMUX<22>,CFG_SEAMMUX<23>,XXXX,
W33,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_SEAMMUX<18>,XXXX,XXXX,
W34,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_SEAMMUX<26>,XXXX,XXXX,
W35,CFG_SEAMMUX<8>,CFG_SEAMMUX<9>,CFG_SEAMMUX<10>,CFG_SEAMMUX<11>,CFG_SEAMMUX<12>,CFG_SEAMMUX<13>,CFG_SEAMMUX<14>,CFG_SEAMMUX<15>,CFG_SEAMMUX<24>,CFG_SEAMMUX<25>,CFG_SEAMMUX<27>,CFG_SEAMMUX<28>,CFG_SEAMMUX<29>,CFG_SEAMMUX<30>,CFG_SEAMMUX<31>,XXXX,
W36,CFG_RMUX8<7>,CFG_RMUX8<6>,CFG_RMUX8<4>,CFG_RMUX8<2>,CFG_RMUX8<0>,CFG_RMUX8<20>,CFG_RMUX8<22>,CFG_RMUX8<24>,CFG_RMUX8<26>,CFG_RMUX8<27>,CFG_RMUX8<47>,CFG_RMUX8<46>,CFG_RMUX8<44>,CFG_RMUX8<42>,CFG_RMUX8<40>,CFG_OMUX8<0>,
W37,CFG_RMUX8<8>,CFG_RMUX8<9>,CFG_RMUX8<5>,CFG_RMUX8<3>,CFG_RMUX8<1>,CFG_RMUX8<21>,CFG_RMUX8<23>,CFG_RMUX8<25>,CFG_RMUX8<29>,CFG_RMUX8<28>,CFG_RMUX8<48>,CFG_RMUX8<49>,CFG_RMUX8<45>,CFG_RMUX8<43>,CFG_RMUX8<41>,XXXX,
W38,CFG_RMUX9<7>,CFG_RMUX9<6>,CFG_RMUX9<4>,CFG_RMUX9<2>,CFG_RMUX9<0>,CFG_RMUX9<20>,CFG_RMUX9<22>,CFG_RMUX9<24>,CFG_RMUX9<26>,CFG_RMUX9<27>,CFG_RMUX9<47>,CFG_RMUX9<46>,CFG_RMUX9<44>,CFG_RMUX9<42>,CFG_RMUX9<40>,XXXX,
W39,CFG_RMUX9<8>,CFG_RMUX9<9>,CFG_RMUX9<5>,CFG_RMUX9<3>,CFG_RMUX9<1>,CFG_RMUX9<21>,CFG_RMUX9<23>,CFG_RMUX9<25>,CFG_RMUX9<29>,CFG_RMUX9<28>,CFG_RMUX9<48>,CFG_RMUX9<49>,CFG_RMUX9<45>,CFG_RMUX9<43>,CFG_RMUX9<41>,XXXX,
W40,CFG_RMUX10<57>,CFG_RMUX10<56>,CFG_RMUX10<54>,CFG_RMUX10<52>,CFG_RMUX10<50>,CFG_RMUX10<10>,CFG_RMUX10<12>,CFG_RMUX10<14>,CFG_RMUX10<16>,CFG_RMUX10<17>,CFG_RMUX10<37>,CFG_RMUX10<36>,CFG_RMUX10<34>,CFG_RMUX10<32>,CFG_RMUX10<30>,CFG_OMUX9<0>,
W41,CFG_RMUX10<58>,CFG_RMUX10<59>,CFG_RMUX10<55>,CFG_RMUX10<53>,CFG_RMUX10<51>,CFG_RMUX10<11>,CFG_RMUX10<13>,CFG_RMUX10<15>,CFG_RMUX10<19>,CFG_RMUX10<18>,CFG_RMUX10<38>,CFG_RMUX10<39>,CFG_RMUX10<35>,CFG_RMUX10<33>,CFG_RMUX10<31>,XXXX,
W42,CFG_RMUX11<57>,CFG_RMUX11<56>,CFG_RMUX11<54>,CFG_RMUX11<52>,CFG_RMUX11<50>,CFG_RMUX11<10>,CFG_RMUX11<12>,CFG_RMUX11<14>,CFG_RMUX11<16>,CFG_RMUX11<17>,CFG_RMUX11<37>,CFG_RMUX11<36>,CFG_RMUX11<34>,CFG_RMUX11<32>,CFG_RMUX11<30>,XXXX,
W43,CFG_RMUX11<58>,CFG_RMUX11<59>,CFG_RMUX11<55>,CFG_RMUX11<53>,CFG_RMUX11<51>,CFG_RMUX11<11>,CFG_RMUX11<13>,CFG_RMUX11<15>,CFG_RMUX11<19>,CFG_RMUX11<18>,CFG_RMUX11<38>,CFG_RMUX11<39>,CFG_RMUX11<35>,CFG_RMUX11<33>,CFG_RMUX11<31>,XXXX,
W44,CFG_RMUX8<17>,CFG_RMUX8<16>,CFG_RMUX8<14>,CFG_RMUX8<12>,CFG_RMUX8<10>,CFG_RMUX8<30>,CFG_RMUX8<32>,CFG_RMUX8<34>,CFG_RMUX8<36>,CFG_RMUX8<37>,CFG_RMUX8<57>,CFG_RMUX8<56>,CFG_RMUX8<54>,CFG_RMUX8<52>,CFG_RMUX8<50>,CFG_OMUX10<0>,
W45,CFG_RMUX8<18>,CFG_RMUX8<19>,CFG_RMUX8<15>,CFG_RMUX8<13>,CFG_RMUX8<11>,CFG_RMUX8<31>,CFG_RMUX8<33>,CFG_RMUX8<35>,CFG_RMUX8<39>,CFG_RMUX8<38>,CFG_RMUX8<58>,CFG_RMUX8<59>,CFG_RMUX8<55>,CFG_RMUX8<53>,CFG_RMUX8<51>,XXXX,
W46,CFG_RMUX9<17>,CFG_RMUX9<16>,CFG_RMUX9<14>,CFG_RMUX9<12>,CFG_RMUX9<10>,CFG_RMUX9<30>,CFG_RMUX9<32>,CFG_RMUX9<34>,CFG_RMUX9<36>,CFG_RMUX9<37>,CFG_RMUX9<57>,CFG_RMUX9<56>,CFG_RMUX9<54>,CFG_RMUX9<52>,CFG_RMUX9<50>,XXXX,
W47,CFG_RMUX9<18>,CFG_RMUX9<19>,CFG_RMUX9<15>,CFG_RMUX9<13>,CFG_RMUX9<11>,CFG_RMUX9<31>,CFG_RMUX9<33>,CFG_RMUX9<35>,CFG_RMUX9<39>,CFG_RMUX9<38>,CFG_RMUX9<58>,CFG_RMUX9<59>,CFG_RMUX9<55>,CFG_RMUX9<53>,CFG_RMUX9<51>,XXXX,
W48,CFG_RMUX10<47>,CFG_RMUX10<46>,CFG_RMUX10<44>,CFG_RMUX10<42>,CFG_RMUX10<40>,CFG_RMUX10<0>,CFG_RMUX10<2>,CFG_RMUX10<4>,CFG_RMUX10<6>,CFG_RMUX10<7>,CFG_RMUX10<27>,CFG_RMUX10<26>,CFG_RMUX10<24>,CFG_RMUX10<22>,CFG_RMUX10<20>,CFG_OMUX11<0>,
W49,CFG_RMUX10<48>,CFG_RMUX10<49>,CFG_RMUX10<45>,CFG_RMUX10<43>,CFG_RMUX10<41>,CFG_RMUX10<1>,CFG_RMUX10<3>,CFG_RMUX10<5>,CFG_RMUX10<9>,CFG_RMUX10<8>,CFG_RMUX10<28>,CFG_RMUX10<29>,CFG_RMUX10<25>,CFG_RMUX10<23>,CFG_RMUX10<21>,XXXX,
W50,CFG_RMUX11<47>,CFG_RMUX11<46>,CFG_RMUX11<44>,CFG_RMUX11<42>,CFG_RMUX11<40>,CFG_RMUX11<0>,CFG_RMUX11<2>,CFG_RMUX11<4>,CFG_RMUX11<6>,CFG_RMUX11<7>,CFG_RMUX11<27>,CFG_RMUX11<26>,CFG_RMUX11<24>,CFG_RMUX11<22>,CFG_RMUX11<20>,XXXX,
W51,CFG_RMUX11<48>,CFG_RMUX11<49>,CFG_RMUX11<45>,CFG_RMUX11<43>,CFG_RMUX11<41>,CFG_RMUX11<1>,CFG_RMUX11<3>,CFG_RMUX11<5>,CFG_RMUX11<9>,CFG_RMUX11<8>,CFG_RMUX11<28>,CFG_RMUX11<29>,CFG_RMUX11<25>,CFG_RMUX11<23>,CFG_RMUX11<21>,XXXX,
W52,CFG_RMUX12<7>,CFG_RMUX12<6>,CFG_RMUX12<4>,CFG_RMUX12<2>,CFG_RMUX12<0>,CFG_RMUX12<20>,CFG_RMUX12<22>,CFG_RMUX12<24>,CFG_RMUX12<26>,CFG_RMUX12<27>,CFG_RMUX12<47>,CFG_RMUX12<46>,CFG_RMUX12<44>,CFG_RMUX12<42>,CFG_RMUX12<40>,CFG_OMUX12<0>,
W53,CFG_RMUX12<8>,CFG_RMUX12<9>,CFG_RMUX12<5>,CFG_RMUX12<3>,CFG_RMUX12<1>,CFG_RMUX12<21>,CFG_RMUX12<23>,CFG_RMUX12<25>,CFG_RMUX12<29>,CFG_RMUX12<28>,CFG_RMUX12<48>,CFG_RMUX12<49>,CFG_RMUX12<45>,CFG_RMUX12<43>,CFG_RMUX12<41>,XXXX,
W54,CFG_RMUX13<7>,CFG_RMUX13<6>,CFG_RMUX13<4>,CFG_RMUX13<2>,CFG_RMUX13<0>,CFG_RMUX13<20>,CFG_RMUX13<22>,CFG_RMUX13<24>,CFG_RMUX13<26>,CFG_RMUX13<27>,CFG_RMUX13<47>,CFG_RMUX13<46>,CFG_RMUX13<44>,CFG_RMUX13<42>,CFG_RMUX13<40>,XXXX,
W55,CFG_RMUX13<8>,CFG_RMUX13<9>,CFG_RMUX13<5>,CFG_RMUX13<3>,CFG_RMUX13<1>,CFG_RMUX13<21>,CFG_RMUX13<23>,CFG_RMUX13<25>,CFG_RMUX13<29>,CFG_RMUX13<28>,CFG_RMUX13<48>,CFG_RMUX13<49>,CFG_RMUX13<45>,CFG_RMUX13<43>,CFG_RMUX13<41>,XXXX,
W56,CFG_RMUX14<57>,CFG_RMUX14<56>,CFG_RMUX14<54>,CFG_RMUX14<52>,CFG_RMUX14<50>,CFG_RMUX14<10>,CFG_RMUX14<12>,CFG_RMUX14<14>,CFG_RMUX14<16>,CFG_RMUX14<17>,CFG_RMUX14<37>,CFG_RMUX14<36>,CFG_RMUX14<34>,CFG_RMUX14<32>,CFG_RMUX14<30>,CFG_OMUX13<0>,
W57,CFG_RMUX14<58>,CFG_RMUX14<59>,CFG_RMUX14<55>,CFG_RMUX14<53>,CFG_RMUX14<51>,CFG_RMUX14<11>,CFG_RMUX14<13>,CFG_RMUX14<15>,CFG_RMUX14<19>,CFG_RMUX14<18>,CFG_RMUX14<38>,CFG_RMUX14<39>,CFG_RMUX14<35>,CFG_RMUX14<33>,CFG_RMUX14<31>,XXXX,
W58,CFG_RMUX15<57>,CFG_RMUX15<56>,CFG_RMUX15<54>,CFG_RMUX15<52>,CFG_RMUX15<50>,CFG_RMUX15<10>,CFG_RMUX15<12>,CFG_RMUX15<14>,CFG_RMUX15<16>,CFG_RMUX15<17>,CFG_RMUX15<37>,CFG_RMUX15<36>,CFG_RMUX15<34>,CFG_RMUX15<32>,CFG_RMUX15<30>,XXXX,
W59,CFG_RMUX15<58>,CFG_RMUX15<59>,CFG_RMUX15<55>,CFG_RMUX15<53>,CFG_RMUX15<51>,CFG_RMUX15<11>,CFG_RMUX15<13>,CFG_RMUX15<15>,CFG_RMUX15<19>,CFG_RMUX15<18>,CFG_RMUX15<38>,CFG_RMUX15<39>,CFG_RMUX15<35>,CFG_RMUX15<33>,CFG_RMUX15<31>,XXXX,
W60,CFG_RMUX12<17>,CFG_RMUX12<16>,CFG_RMUX12<14>,CFG_RMUX12<12>,CFG_RMUX12<10>,CFG_RMUX12<30>,CFG_RMUX12<32>,CFG_RMUX12<34>,CFG_RMUX12<36>,CFG_RMUX12<37>,CFG_RMUX12<57>,CFG_RMUX12<56>,CFG_RMUX12<54>,CFG_RMUX12<52>,CFG_RMUX12<50>,CFG_OMUX14<0>,
W61,CFG_RMUX12<18>,CFG_RMUX12<19>,CFG_RMUX12<15>,CFG_RMUX12<13>,CFG_RMUX12<11>,CFG_RMUX12<31>,CFG_RMUX12<33>,CFG_RMUX12<35>,CFG_RMUX12<39>,CFG_RMUX12<38>,CFG_RMUX12<58>,CFG_RMUX12<59>,CFG_RMUX12<55>,CFG_RMUX12<53>,CFG_RMUX12<51>,XXXX,
W62,CFG_RMUX13<17>,CFG_RMUX13<16>,CFG_RMUX13<14>,CFG_RMUX13<12>,CFG_RMUX13<10>,CFG_RMUX13<30>,CFG_RMUX13<32>,CFG_RMUX13<34>,CFG_RMUX13<36>,CFG_RMUX13<37>,CFG_RMUX13<57>,CFG_RMUX13<56>,CFG_RMUX13<54>,CFG_RMUX13<52>,CFG_RMUX13<50>,XXXX,
W63,CFG_RMUX13<18>,CFG_RMUX13<19>,CFG_RMUX13<15>,CFG_RMUX13<13>,CFG_RMUX13<11>,CFG_RMUX13<31>,CFG_RMUX13<33>,CFG_RMUX13<35>,CFG_RMUX13<39>,CFG_RMUX13<38>,CFG_RMUX13<58>,CFG_RMUX13<59>,CFG_RMUX13<55>,CFG_RMUX13<53>,CFG_RMUX13<51>,XXXX,
W64,CFG_RMUX14<47>,CFG_RMUX14<46>,CFG_RMUX14<44>,CFG_RMUX14<42>,CFG_RMUX14<40>,CFG_RMUX14<0>,CFG_RMUX14<2>,CFG_RMUX14<4>,CFG_RMUX14<6>,CFG_RMUX14<7>,CFG_RMUX14<27>,CFG_RMUX14<26>,CFG_RMUX14<24>,CFG_RMUX14<22>,CFG_RMUX14<20>,CFG_OMUX15<0>,
W65,CFG_RMUX14<48>,CFG_RMUX14<49>,CFG_RMUX14<45>,CFG_RMUX14<43>,CFG_RMUX14<41>,CFG_RMUX14<1>,CFG_RMUX14<3>,CFG_RMUX14<5>,CFG_RMUX14<9>,CFG_RMUX14<8>,CFG_RMUX14<28>,CFG_RMUX14<29>,CFG_RMUX14<25>,CFG_RMUX14<23>,CFG_RMUX14<21>,XXXX,
W66,CFG_RMUX15<47>,CFG_RMUX15<46>,CFG_RMUX15<44>,CFG_RMUX15<42>,CFG_RMUX15<40>,CFG_RMUX15<0>,CFG_RMUX15<2>,CFG_RMUX15<4>,CFG_RMUX15<6>,CFG_RMUX15<7>,CFG_RMUX15<27>,CFG_RMUX15<26>,CFG_RMUX15<24>,CFG_RMUX15<22>,CFG_RMUX15<20>,XXXX,
W67,CFG_RMUX15<48>,CFG_RMUX15<49>,CFG_RMUX15<45>,CFG_RMUX15<43>,CFG_RMUX15<41>,CFG_RMUX15<1>,CFG_RMUX15<3>,CFG_RMUX15<5>,CFG_RMUX15<9>,CFG_RMUX15<8>,CFG_RMUX15<28>,CFG_RMUX15<29>,CFG_RMUX15<25>,CFG_RMUX15<23>,CFG_RMUX15<21>,XXXX,

